Package                        Version     Location                                                              Installer
rfc3986-validator              0.1.1       /root/miniconda3/lib/python3.10/site-packages                         pip
rsa                            4.9         /root/miniconda3/lib/python3.10/site-packages                         pip
ruamel.yaml                    0.17.21     /root/miniconda3/lib/python3.10/site-packages                         conda
ruamel.yaml.clib               0.2.6       /root/miniconda3/lib/python3.10/site-packages                         conda
Send2Trash                     1.8.0       /root/miniconda3/lib/python3.10/site-packages                         pip
setuptools                     65.5.0      /root/miniconda3/lib/python3.10/site-packages
six                            1.16.0      /root/miniconda3/lib/python3.10/site-packages                         conda
sniffio                        1.3.0       /root/miniconda3/lib/python3.10/site-packages                         pip
soupsieve                      2.3.2.post1 /root/miniconda3/lib/python3.10/site-packages                         pip
stack-data                     0.6.2       /root/miniconda3/lib/python3.10/site-packages                         pip
sympy                          1.11.1      /root/miniconda3/lib/python3.10/site-packages                         conda
tensorboard                    2.11.2      /root/miniconda3/lib/python3.10/site-packages                         pip
tensorboard-data-server        0.6.1       /root/miniconda3/lib/python3.10/site-packages                         pip
tensorboard-plugin-wit         1.8.1       /root/miniconda3/lib/python3.10/site-packages                         pip
termcolor                      2.1.1       /root/miniconda3/lib/python3.10/site-packages                         pip
terminado                      0.17.1      /root/miniconda3/lib/python3.10/site-packages                         pip
tinycss2                       1.2.1       /root/miniconda3/lib/python3.10/site-packages                         pip
tomli                          2.0.1       /root/miniconda3/lib/python3.10/site-packages                         pip
toolz                          0.12.0      /root/miniconda3/lib/python3.10/site-packages                         conda
torch                          2.0.1       /root/miniconda3/lib/python3.10/site-packages
torchaudio                     2.0.2       /root/miniconda3/lib/python3.10/site-packages
torchvision                    0.15.2      /root/miniconda3/lib/python3.10/site-packages
tornado                        6.2         /root/miniconda3/lib/python3.10/site-packages                         pip
tqdm                           4.64.1      /root/miniconda3/lib/python3.10/site-packages                         conda
traitlets                      5.8.1       /root/miniconda3/lib/python3.10/site-packages                         pip
triton                         2.0.0       /root/miniconda3/lib/python3.10/site-packages
typing_extensions              4.5.0       /root/miniconda3/lib/python3.10/site-packages                         conda
uri-template                   1.2.0       /root/miniconda3/lib/python3.10/site-packages                         pip
urllib3                        1.26.13     /root/miniconda3/lib/python3.10/site-packages                         conda
wcwidth                        0.2.6       /root/miniconda3/lib/python3.10/site-packages                         pip
webcolors                      1.12        /root/miniconda3/lib/python3.10/site-packages                         pip
webencodings                   0.5.1       /root/miniconda3/lib/python3.10/site-packages                         pip
websocket-client               1.5.0       /root/miniconda3/lib/python3.10/site-packages                         pip
Werkzeug                       2.2.2       /root/miniconda3/lib/python3.10/site-packages                         pip
wheel                          0.37.1      /root/miniconda3/lib/python3.10/site-packages
widgetsnbextension             4.0.5       /root/miniconda3/lib/python3.10/site-packages                         pip
